,1,2,3,4,5,E,SD
Metric in the top of all: ,0.0029351,0.00288922,0.00286329,0.00285066,0.00309681,0.00292702,8.96842e-05
Metric in the top in cluster: ,0.00672047,0.00654129,0.00664547,0.00660101,0.00648799,0.00659924,8.06941e-05
